experience,filename,min_pore_size,clicked_x,clicked_y
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,192,16
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,216,40
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",4440,192,8
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",4440,176,16
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,240,88
1,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,80
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,248,80
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,208,24
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,168,64
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,216,64
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,136,48
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,160,24
2,72.53_jpeg_escal.jpg,480,224,128
2,72.53_jpeg_escal.jpg,480,248,72
2,72.53_jpeg_escal.jpg,480,216,64
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,240,72
2,72.53_jpeg_escal.jpg,480,184,0
2,72.53_jpeg_escal.jpg,480,160,16
2,72.53_jpeg_escal.jpg,480,232,72
2,72.53_jpeg_escal.jpg,480,160,0
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,184,8
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,24
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,152,48
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,192,32
2,72.53_jpeg_escal.jpg,480,120,152
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,216,104
2,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,200,16
2,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,240,16
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,152,56
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,136,16
3,72.53_jpeg_escal.jpg,480,176,16
3,72.53_jpeg_escal.jpg,480,248,40
3,72.53_jpeg_escal.jpg,480,192,80
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,192,64
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,112,32
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,168,80
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,120,56
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,112
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,200,16
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,176,16
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,168,48
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,0
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,192,16
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,152,64
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,232,56
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,240,8
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,168,16
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,192,48
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,192,16
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,184,32
3,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",100,240,16
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,200,160
3,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,112,64
